Code,Area name,Higher level parking PCNs,Lower level parking PCNs,Total parking PCNs,Bus lane PCNs,Moving traffic PCNs,London Lorry Control Scheme (Operators),London Lorry Control Scheme (Drivers),Total PCNs,Vehicles clamped,Vehicles impounded
74115,Mohawk Park,43647,6514,50161,23262,31976,0,0,105399,0,0
74055,Owasso,102095,46046,148141,6631,86578,0,0,241350,0,0
E09000004,Bexley,35191,9808,44999,0,11365,0,0,56364,0,0
74105,Brookside,91948,20317,112265,12058,66414,0,0,190737,0,1914
E09000006,Bromley,39966,21265,61231,19264,0,0,0,80495,0,0
74153,LaFortune Park,126795,69004,195799,14404,27099,0,0,237302,0,2374
74103,Downtown,39572,6775,46347,0,192841,0,0,239188,0,5
E09000008,Croydon,69243,26185,95428,1357,22464,0,0,119249,0,0
74132,Tulsa Hills,70401,21887,92288,26933,75837,0,0,195058,0,0
E09000011,Greenwich,27189,11153,38342,0,0,0,0,38342,0,0
74037,Jenks,64845,15626,80471,4915,24172,0,0,109558,0,957
74108,Eastland,108903,29041,137944,21993,78489,0,0,238426,0,975
E09000014,Midtown,113923,25418,139341,19021,44418,0,0,202780,0,2666
74063,Sand Springs,74815,24499,99314,8930,58835,0,0,167079,0,0
74011,Southside,61830,19317,81147,7314,32252,0,0,120713,0,0
74152,Utica Square,37434,12357,49791,4035,24507,0,0,78333,0,0
74008,Bixby,62704,21761,84465,6224,27005,0,0,117694,0,816
74014,Broken Arrow,116884,47092,163976,9322,78743,0,0,252041,9,148
74012,Lynn Lane,122310,74097,196407,0,0,0,0,196407,0,2298
E09000021,Kingston upon Thames,40027,20570,60597,26136,65634,0,0,152367,0,0
E09000022,Lambeth,98004,15954,113958,41629,32680,0,0,188267,0,72
E09000023,Lewisham,41061,11152,52213,8295,14964,0,0,75472,0,0
E09000024,Merton,38598,28157,66755,24119,67523,0,0,158397,0,0
E09000025,Newham,120525,17784,138309,9107,73911,0,0,221327,0,7427
E09000026,,86132,27563,113695,0,50431,0,0,164126,0,0
E09000027,Richmond upon Thames,43722,25683,69405,4690,14666,0,0,88761,0,0
E09000028,Southwark,70059,11343,81402,6586,30820,0,0,118808,0,111
E09000029,Sutton,19840,5164,25004,1750,2691,0,0,29445,0,0
74170,Oral Roberts,75765,17933,93698,3335,22168,0,0,119201,0,2377
74107,Town West,76768,9542,86310,3313,73760,0,0,163383,0,3276
E09000032,Wandsworth,109647,13797,123444,110,13236,0,0,136790,0,83
E09000033,sdds,186408,73820,260228,0,63450,0,0,323678,0,0